843 922
218 129 20
736 134 964
749 835 -965
803 477 -196
178 519 598
558 211 917
265 684 514
574 457 -766
179 629 782
391 463 933
2 816 -170
525 549 3
719 43 125
627 786 819
17 61 -759
125 449 163
598 413 233
476 721 906
481 407 86
834 287 -469
416 275 -824
711 512 -807
334 119 583
742 478 -215
786 324 289
32 594 -311
204 304 -614
525 677 -229
249 111 434
349 761 402
506 142 309
199 809 432
443 658 800
829 184 -301
822 277 -746
155 130 536
142 280 -236
792 151 419
312 261 -10
666 219 -530
78 553 234
225 181 -630
692 49 465
550 51 494
264 175 604
751 719 92
568 206 321
684 611 994
626 114 -565
514 668 589
222 303 -310
557 162 883
142 303 746
81 91 -716
653 54 -360
362 63 -35
72 757 543
817 35 183
470 609 -787
346 165 -194
11 269 896
618 37 -163
119 783 437
601 97 842
40 838 119
537 194 -199
697 46 -302
436 174 -100
252 513 -24
314 247 953
529 692 -307
347 6 768
373 610 984
570 841 -415
820 595 -560
557 364 335
690 366 516
508 493 -94
422 192 -896
743 660 -17
421 339 -266
133 49 4
540 125 133
632 109 -69
205 131 -194
196 153 -673
319 316 -894
719 283 636
93 366 399
421 94 142
103 384 -856
694 20 -385
70 11 -777
306 637 -847
99 378 518
826 576 84
108 781 -150
221 62 574
330 709 493
561 144 -530
359 172 -277
690 31 -158
119 216 -829
701 401 723
26 114 313
695 397 425
345 478 -813
194 837 -265
633 554 -278
20 755 483
737 641 -815
112 579 165
197 793 703
742 195 248
712 7 -511
248 181 -162
286 296 225
155 338 -459
616 177 829
223 74 725
717 485 960
672 793 128
171 743 -454
412 680 278
657 319 460
597 75 -611
308 478 976
29 199 -441
785 750 -541
320 135 971
55 760 -738
473 92 767
486 671 -816
530 136 -475
598 534 -612
284 492 970
604 208 -717
789 280 -916
27 557 -659
55 701 870
226 475 -500
367 145 60
308 304 -505
480 737 -950
159 363 711
434 339 -420
513 332 609
541 535 550
423 343 -77
31 605 150
162 798 487
196 242 154
113 102 -430
61 835 -519
409 592 827
358 749 630
471 497 181
163 260 -568
313 455 831
755 626 -365
22 325 374
627 687 386
511 726 338
410 225 -60
361 784 549
213 239 -708
444 37 -258
790 288 269
665 406 838
178 474 3
461 818 -61
122 214 746
616 747 962
280 572 -707
745 193 49
742 377 -170
693 678 427
700 67 -361
813 734 30
34 384 -639
403 782 -492
807 556 -776
80 567 -492
77 641 309
265 573 -364
294 243 -454
403 539 -711
52 806 -649
256 802 455
124 685 -39
139 529 813
753 779 256
193 113 -673
596 713 -296
582 355 275
31 583 501
299 364 727
357 842 -204
230 741 -70
492 87 472
446 782 27
697 438 954
27 229 151
507 632 323
840 121 -830
635 7 -149
468 238 692
1 86 599
730 714 -663
314 571 390
592 650 982
524 22 133
72 392 -129
398 287 977
633 810 -628
418 480 470
711 439 -69
681 312 -682
256 286 -620
492 560 -776
186 58 902
777 396 522
459 534 332
449 173 -36
243 266 -486
191 633 -84
595 477 824
728 597 -434
833 654 187
487 69 442
531 598 714
156 433 -146
215 251 -964
230 301 161
735 142 -542
89 425 -242
116 565 854
23 397 930
318 740 503
205 651 -22
210 407 511
444 247 -618
246 276 780
544 179 773
565 120 -920
86 497 -449
600 793 -342
711 485 503
453 294 -729
533 14 -62
4 164 814
368 372 627
795 634 509
158 658 591
270 138 -749
654 6 750
266 489 583
427 553 182
774 465 614
483 369 -772
626 514 787
39 354 186
305 70 -823
332 670 942
633 694 -774
222 8 421
429 667 937
591 560 786
341 390 -442
747 649 -325
838 364 421
669 799 -760
745 78 -254
10 501 78
427 734 69
173 522 846
302 344 -108
161 117 57
540 278 130
271 218 172
293 510 737
516 644 79
323 679 -560
152 439 458
398 796 -169
632 653 -598
58 705 347
219 781 -902
690 158 47
298 297 -565
816 159 -521
47 471 537
6 662 -784
229 196 -913
201 493 -460
20 44 743
128 310 586
212 695 -963
433 339 -101
840 345 -453
719 209 50
185 43 -92
160 299 -156
680 653 -312
333 571 659
166 254 -876
452 404 -63
97 102 985
560 315 664
445 701 885
511 17 -64
568 799 873
390 823 994
822 131 -727
766 842 -892
84 255 311
643 354 -798
676 298 -609
538 34 452
217 646 -728
661 608 -626
729 640 52
361 703 -26
125 659 -631
465 222 182
574 763 767
117 549 -156
369 103 935
674 699 583
65 483 26
688 9 -270
576 106 632
341 468 898
400 224 -208
525 398 -461
297 688 -466
720 697 959
128 383 -52
2 664 732
51 688 53
726 380 -567
343 444 169
702 375 -18
691 301 575
504 483 -791
312 420 961
801 678 21
539 589 -700
308 42 -584
694 271 -142
106 144 577
544 493 799
390 798 -86
122 324 310
722 646 -103
731 5 952
787 668 -902
620 99 326
370 311 103
628 745 906
195 767 -112
578 515 -360
733 807 887
634 245 -800
248 423 -566
552 411 874
6 514 -160
550 834 -103
616 215 218
696 445 -806
39 321 -602
605 655 -878
167 302 70
592 120 833
285 620 -154
264 808 -269
424 35 744
209 700 -615
666 430 99
649 460 -27
175 70 -656
476 196 405
516 153 553
416 718 -369
644 280 170
539 596 229
534 756 -102
533 207 217
16 220 -714
757 114 -392
180 451 -807
680 201 78
703 455 85
32 780 -662
212 547 -154
281 457 830
240 685 794
376 53 -559
189 487 596
666 547 526
732 600 -878
335 66 -311
508 281 946
807 42 -789
543 810 74
336 452 14
673 453 818
652 721 -294
797 262 549
519 113 -295
304 21 -770
836 370 -206
832 797 200
712 606 12
299 717 942
259 412 -616
549 463 969
780 448 687
390 803 116
436 337 -105
335 148 437
328 16 470
143 600 -2
107 726 -111
463 290 227
468 396 -325
578 677 -821
637 192 310
47 121 -579
147 787 620
283 232 660
414 135 -883
625 153 518
654 247 -331
137 51 -992
441 521 703
720 245 -447
156 358 -19
369 537 211
280 394 199
568 204 458
773 318 -309
127 656 -967
559 355 141
311 7 -898
777 763 -334
380 802 -210
735 726 -392
441 334 -670
546 79 319
298 244 919
655 623 -800
180 740 -417
330 714 542
531 462 -110
95 649 392
291 588 -419
411 3 -401
20 469 -499
798 167 927
121 157 199
287 378 191
80 82 -607
558 53 397
349 77 460
813 130 -441
833 556 -12
667 745 456
419 298 -12
725 409 56
334 60 50
691 591 -880
379 444 159
393 637 -968
427 749 -993
289 760 -559
671 270 325
83 704 118
56 24 666
291 820 192
516 10 -33
12 654 -143
480 101 -318
385 681 -444
547 382 -782
295 281 789
132 277 -808
519 731 547
370 635 633
500 236 620
643 355 -653
482 406 208
232 410 883
387 505 -746
663 416 -77
713 285 738
285 645 773
167 136 -578
272 77 379
593 72 25
274 594 -808
344 682 -402
384 299 -634
825 54 293
47 598 959
700 487 760
171 443 -585
551 243 -669
17 602 764
744 756 447
799 210 -897
605 832 -42
271 801 -479
562 201 806
269 128 889
360 514 -597
61 252 3
337 787 -401
413 43 -964
661 232 -100
148 625 -633
184 65 422
53 352 -801
58 732 -506
259 444 87
151 372 -15
247 45 351
630 675 -98
175 156 246
635 29 -587
611 678 -178
550 547 459
190 304 924
306 192 -499
604 377 -397
705 259 -821
623 808 -439
327 514 918
451 697 -392
809 491 -479
197 819 110
26 179 515
518 490 -406
290 685 619
438 40 523
41 113 -960
13 481 -955
445 135 538
301 155 -844
265 496 924
22 453 379
143 687 726
146 521 -238
628 295 -165
487 769 -544
326 92 279
668 742 608
799 288 203
721 511 717
479 41 881
740 202 -864
399 821 -965
243 234 -632
788 395 -585
231 395 480
394 210 -693
528 260 35
716 408 -473
16 486 -625
456 260 36
821 535 -502
694 601 467
256 454 686
674 182 252
251 449 125
716 749 800
812 61 -233
608 483 -133
736 618 -805
349 325 830
315 212 57
797 619 -961
421 485 -382
251 310 -634
804 368 229
37 525 -604
452 677 -636
185 416 -864
315 528 767
484 90 -119
606 50 802
588 565 601
126 275 232
205 795 124
700 763 947
297 515 435
755 434 -776
265 389 148
632 383 -410
473 782 145
707 27 -268
189 741 281
32 516 348
348 841 593
786 422 -600
78 136 831
153 434 -894
683 706 -326
187 209 -853
679 463 -158
362 333 558
812 257 -898
553 518 77
642 18 446
681 225 879
732 126 -924
717 725 490
88 23 332
817 102 77
29 737 -80
619 570 -195
435 332 -391
442 122 717
642 633 -423
547 463 685
228 348 544
56 772 -483
799 237 675
15 744 -163
647 476 -975
503 2 -687
351 449 -66
325 773 -459
620 621 395
11 421 537
12 629 70
334 8 -660
482 727 567
520 741 164
429 274 -217
435 107 16
335 513 563
684 802 -486
44 505 -294
49 727 707
651 453 -28
711 779 119
761 660 91
174 636 520
596 67 751
631 224 -485
723 385 -106
116 171 -42
389 783 -431
88 648 506
140 371 197
462 783 -452
192 613 -7
231 416 863
655 826 -280
812 409 191
479 675 487
63 222 771
1 314 972
509 131 -863
304 635 817
62 647 -695
311 147 457
461 581 -332
516 789 874
638 618 -921
691 347 -34
153 691 252
400 395 -888
160 348 706
717 669 126
751 745 -464
491 242 56
355 652 489
549 355 150
513 366 -859
480 422 57
680 771 -112
334 689 779
60 734 -956
66 708 531
403 502 -153
211 336 756
532 401 669
494 594 -112
678 8 -366
271 777 586
63 403 -747
292 178 33
362 123 79
295 552 -804
410 479 -210
278 49 823
398 185 -56
2 96 995
214 165 964
693 835 -862
688 526 -778
706 540 -853
581 45 -366
499 75 811
584 85 -957
829 143 481
821 492 -538
575 785 -576
785 553 -405
794 91 -241
495 11 594
490 162 727
645 318 -934
375 45 342
307 750 590
274 285 123
401 347 316
833 75 89
740 626 -242
811 105 563
323 640 887
773 556 -60
675 792 -52
198 176 549
13 563 648
210 387 205
431 375 -199
816 400 995
349 259 880
491 482 -653
181 56 -719
242 520 -325
163 291 148
440 599 -790
655 473 561
451 598 640
552 67 -815
652 820 -703
538 71 744
318 575 391
144 249 -990
667 760 -512
533 395 981
790 705 209
130 763 759
769 404 217
407 471 724
310 498 531
15 545 -794
814 279 733
572 393 -278
371 83 -268
782 528 397
166 171 -106
420 755 -924
402 364 449
284 138 233
802 429 695
78 108 801
828 195 -17
805 458 102
589 80 255
27 484 979
172 455 812
716 603 331
617 267 -493
685 634 657
544 434 -199
329 398 -304
199 481 434
551 751 688
36 578 248
254 239 127
319 228 717
490 144 28
785 118 -373
