1000 2764
431 582 801
942 192 968
787 464 135
886 429 821
582 694 321
675 146 739
69 140 757
190 781 675
678 872 378
723 573 962
324 496 947
277 834 787
90 368 779
654 205 219
591 69 338
50 436 745
346 776 99
817 783 406
322 532 24
913 374 756
905 52 258
458 994 223
65 330 887
138 211 842
604 898 968
62 824 81
714 418 156
135 526 847
466 281 475
14 447 12
530 739 493
775 873 937
677 431 838
996 532 343
591 270 789
157 471 517
384 821 121
450 327 784
390 192 146
577 489 664
649 21 292
560 405 491
159 992 266
518 251 314
431 12 608
31 726 345
69 521 102
222 678 356
333 458 743
301 501 835
289 35 417
404 713 504
220 85 211
721 272 638
33 484 831
968 75 320
67 173 938
869 879 716
626 988 463
139 18 559
206 445 845
282 130 691
333 919 691
104 573 644
62 400 849
926 90 784
693 63 680
616 226 572
554 468 691
938 464 748
818 898 795
247 298 840
580 395 955
729 815 970
82 483 851
726 159 233
197 495 284
775 635 565
388 952 684
600 181 421
987 621 811
200 463 936
670 101 690
570 774 314
153 769 630
443 386 281
855 323 108
197 210 523
617 614 64
409 301 47
937 419 469
58 859 807
707 311 919
87 260 993
430 872 414
419 845 264
50 908 400
566 335 188
650 352 794
690 887 67
179 43 459
72 300 587
717 163 332
944 956 608
561 88 531
825 806 959
96 80 869
285 58 957
89 938 564
575 371 708
143 478 515
534 737 575
98 22 820
855 281 898
548 15 332
963 923 178
7 183 539
473 82 217
971 567 551
67 122 261
540 662 813
906 719 870
166 848 95
487 628 378
994 52 366
745 288 32
381 241 607
13 858 401
754 210 488
457 254 771
915 385 748
197 917 803
306 393 977
498 849 763
309 94 994
213 603 51
243 985 744
389 335 352
759 981 541
307 18 691
928 798 638
134 892 891
995 321 286
837 628 409
40 234 267
306 621 987
251 773 828
159 608 858
872 133 839
169 346 265
90 647 898
948 540 173
94 677 737
76 291 236
401 448 396
855 769 143
681 389 796
611 665 9
404 50 624
847 95 261
154 662 15
626 122 471
611 571 901
143 111 792
599 243 75
653 491 798
747 660 1000
322 528 495
969 37 764
247 262 394
418 3 35
694 563 725
787 9 695
582 100 156
406 316 730
106 549 916
984 434 645
610 184 695
427 619 310
326 278 387
10 95 55
647 6 990
809 875 748
776 990 943
741 236 852
844 678 536
333 375 488
853 913 915
342 572 805
968 749 610
45 364 844
453 809 34
604 340 794
780 215 988
216 820 628
747 105 774
54 380 688
603 21 295
941 736 647
871 671 881
551 43 313
444 688 682
622 21 524
508 628 31
503 301 50
154 600 490
527 772 435
192 1 382
382 540 405
449 980 877
623 893 730
415 173 16
782 926 389
311 903 988
46 683 320
339 704 415
731 316 208
249 6 659
463 270 537
864 936 277
979 13 714
572 968 222
875 216 258
492 873 397
198 765 184
126 503 234
929 895 37
728 596 339
373 110 183
174 671 434
437 780 608
274 306 531
210 342 581
233 858 765
465 675 470
134 439 312
150 124 643
55 921 798
652 339 565
113 309 548
963 222 171
543 738 572
642 587 542
570 149 523
53 161 63
528 82 167
265 138 18
206 39 837
546 164 417
121 488 124
249 318 433
634 951 258
946 388 80
741 766 840
678 790 174
853 129 534
774 230 957
967 11 1000
192 573 841
440 584 446
611 640 814
266 694 275
157 348 159
819 319 473
370 169 511
120 151 888
11 386 969
269 274 910
779 752 280
153 165 496
864 966 83
130 431 219
623 116 52
197 21 698
980 283 439
256 351 703
254 576 464
729 971 719
309 582 404
120 427 340
298 517 646
51 978 926
312 87 245
274 169 94
683 854 259
527 904 101
463 742 643
809 239 925
696 861 783
126 96 275
886 517 493
576 573 523
358 444 513
791 316 203
57 901 831
702 379 304
741 351 424
486 544 415
330 846 323
806 609 408
363 229 162
177 167 843
170 41 985
512 414 619
946 467 111
873 296 805
475 266 980
790 40 9
652 76 779
429 577 262
186 523 98
685 336 11
487 805 878
560 546 275
35 48 34
804 152 219
608 444 674
796 225 76
938 969 296
52 157 373
968 706 909
25 574 438
894 221 264
954 422 423
783 424 522
356 166 470
871 890 792
388 731 639
805 522 84
773 296 378
525 890 577
619 675 624
295 658 206
263 802 816
272 479 748
692 843 472
867 521 565
33 323 429
406 417 244
454 788 718
250 284 515
715 186 796
29 462 840
834 492 638
686 380 559
922 182 568
242 252 537
800 32 328
471 41 837
583 889 862
762 546 823
569 217 932
677 285 307
914 290 490
395 685 108
793 891 172
557 990 50
906 359 734
927 681 552
708 865 940
946 392 631
182 967 269
315 305 191
938 136 459
193 721 368
331 3 311
195 129 243
478 813 173
696 2 551
137 384 157
109 898 833
836 323 587
501 77 171
858 738 27
738 953 264
779 49 882
919 455 406
785 981 187
348 202 544
938 77 422
509 149 22
44 45 845
102 619 701
430 877 428
917 692 684
813 593 152
638 838 577
717 390 669
783 119 333
621 584 95
978 891 546
757 892 28
610 35 396
957 647 634
420 443 588
626 994 421
129 925 605
895 211 877
664 280 652
348 906 396
935 785 171
843 861 845
982 278 515
840 575 968
847 823 267
951 367 464
236 1 788
737 180 619
219 124 209
757 490 240
767 430 556
695 690 966
838 295 40
620 987 517
396 287 823
856 161 684
134 787 416
21 15 763
416 950 57
276 807 889
542 351 894
404 58 746
231 914 886
838 112 244
549 509 514
273 801 862
904 15 128
267 564 185
282 477 832
848 365 267
711 123 883
245 855 486
172 475 497
920 816 992
107 225 686
405 300 518
175 703 343
12 202 323
615 398 378
771 234 321
277 411 121
392 27 420
372 542 97
776 467 164
175 124 805
272 436 639
18 844 595
477 951 455
609 666 974
620 729 433
413 500 22
680 766 924
518 978 815
87 236 585
195 491 829
791 975 26
257 746 352
400 264 421
540 23 290
439 877 784
645 758 372
119 486 595
595 940 43
848 457 260
776 822 681
466 888 902
295 602 994
329 878 729
