19
820 813
68 479 -118
226 601 769
376 206 620
250 146 -423
765 631 657
178 599 381
248 215 -838
242 421 491
259 393 -223
454 788 416
87 335 -646
666 327 489
744 18 -522
548 241 -118
385 181 183
365 755 888
687 708 493
579 504 -655
357 386 535
480 608 317
363 109 -741
379 6 277
702 333 319
250 780 -357
288 321 -102
151 355 -509
21 807 259
50 235 -866
738 420 390
756 661 160
662 581 -695
636 528 -182
714 294 48
483 462 -359
514 59 719
743 675 -255
231 292 697
477 91 -114
585 632 766
531 667 251
218 693 -798
182 357 -574
524 225 -705
154 229 527
113 683 550
649 476 -274
792 740 685
813 683 -469
623 510 782
185 451 500
187 767 12
273 770 -728
169 413 922
387 288 769
167 190 -419
589 249 936
166 429 -302
224 99 -968
308 65 -467
90 609 58
230 33 284
103 138 523
243 347 -686
454 793 -608
30 203 -63
115 152 607
818 422 38
180 174 895
403 240 808
711 792 416
563 810 -392
71 376 531
707 30 288
496 358 289
196 694 -473
406 401 -655
806 704 937
451 724 355
397 348 -900
443 367 351
722 266 701
441 785 -377
519 300 -584
668 742 242
238 229 328
167 124 185
245 428 628
512 484 -178
340 253 959
396 128 177
616 96 -403
25 420 545
354 593 -832
723 221 -584
695 157 62
742 434 175
188 81 -438
625 626 -705
7 708 566
150 83 945
690 87 930
220 642 -84
505 779 737
508 48 742
405 583 -909
295 739 889
80 154 538
123 657 960
170 282 -809
386 695 -437
175 491 12
450 687 477
743 655 51
372 607 -611
447 74 -192
122 758 -957
304 412 -985
430 584 -132
197 456 12
688 732 962
116 135 954
421 250 490
232 315 -713
584 601 -534
351 32 -377
703 669 -672
126 601 144
231 689 154
284 92 -967
757 813 388
710 314 77
432 337 641
83 552 198
285 757 -868
507 701 571
457 482 -696
378 766 903
675 123 733
508 550 -638
395 335 107
58 388 -332
52 712 753
168 776 -248
521 656 -236
556 381 928
617 805 92
797 732 -941
57 666 279
339 265 196
528 77 -620
359 307 -903
571 489 -593
729 211 250
284 608 518
657 344 -698
656 66 756
575 411 721
187 760 70
66 720 -987
805 93 774
434 709 -836
419 205 38
145 252 82
484 347 -436
763 740 149
116 613 743
155 196 -480
300 718 -21
168 413 -718
797 721 779
586 337 -602
372 21 574
538 264 -120
525 645 -327
725 98 -535
121 284 -288
360 639 354
354 84 675
31 640 485
102 154 -535
419 73 154
685 192 -101
389 345 31
362 649 -258
632 654 561
667 460 -713
599 590 -184
465 820 -230
155 33 -297
80 760 824
136 266 103
673 77 -481
537 240 4
499 720 520
221 274 -695
721 311 -830
390 486 428
359 418 -282
317 534 -930
667 798 -894
51 218 423
801 204 618
379 341 362
802 477 -422
178 471 183
506 77 807
335 263 -760
519 74 -10
791 251 -817
447 286 946
17 754 156
152 197 393
49 47 227
374 287 787
87 86 132
716 551 -977
212 773 -33
143 325 214
720 540 -947
532 41 -544
500 675 -498
150 736 70
392 483 -332
489 133 -216
462 326 794
117 610 -335
36 584 -297
617 110 -193
473 255 289
162 725 244
293 406 200
470 189 92
817 223 -121
402 690 569
203 624 -799
540 277 882
387 810 -348
594 483 826
92 129 -580
661 457 596
271 330 -482
302 500 601
490 482 496
813 533 -663
207 349 -860
457 751 698
91 285 651
568 648 836
216 346 -732
56 3 41
178 76 -607
489 564 -795
617 710 -850
50 685 995
144 132 -951
253 58 125
405 371 228
503 259 867
394 793 -188
574 677 -521
681 161 -823
324 239 -75
662 287 -212
210 269 -967
351 581 -906
784 652 781
428 511 -804
393 766 -270
540 491 456
213 484 -601
151 811 387
619 802 487
39 33 971
90 36 -234
253 430 21
766 816 848
427 253 -584
161 28 -737
248 193 640
425 472 4
326 629 -262
193 720 251
76 407 -423
597 306 146
283 90 -209
128 772 735
296 818 108
485 472 41
575 566 394
443 135 -792
207 388 28
235 274 67
358 594 717
462 360 575
753 678 712
167 699 156
814 642 -881
285 740 486
45 173 338
282 43 -333
552 553 832
531 25 574
414 325 129
727 622 140
487 469 308
820 563 92
65 412 -9
160 525 -725
645 106 -127
477 677 -846
260 85 978
480 511 -668
442 107 -261
152 210 -225
114 694 -62
524 703 -866
125 810 -862
358 568 316
402 215 28
637 472 -207
716 490 466
144 759 880
527 52 100
799 180 -917
575 573 -804
474 524 -874
213 110 646
366 169 -522
587 427 -120
497 386 -942
585 429 86
664 460 585
721 461 -916
562 759 975
293 518 -392
489 79 -865
279 24 -51
657 609 -245
216 85 -605
143 587 -543
137 264 -922
713 75 662
433 662 212
100 639 996
323 765 597
331 531 -630
444 636 533
458 108 -676
88 242 -8
698 246 -456
299 426 152
680 781 317
636 787 -602
437 392 129
706 719 875
107 201 -179
392 471 920
187 79 -983
351 118 632
94 211 374
685 335 578
124 413 -766
812 544 283
643 422 218
416 407 791
10 125 -718
578 759 -873
573 669 -782
585 490 -550
803 584 1
655 819 -923
797 413 -42
789 46 -547
378 116 331
52 418 52
686 599 811
673 72 -396
772 349 773
407 347 -18
129 128 -113
692 727 184
360 300 301
341 697 470
197 793 -881
786 682 -140
522 614 -431
485 690 538
114 148 -639
119 261 -964
599 603 995
5 383 682
210 420 -835
466 8 110
519 420 -406
275 351 -300
20 252 217
726 557 725
645 100 -593
41 65 -646
250 27 -884
583 252 830
497 769 -25
369 761 16
640 79 878
675 259 -420
695 364 978
731 244 533
779 227 -521
814 212 329
527 37 998
162 281 249
524 644 465
38 248 -328
591 60 -307
790 83 142
335 501 335
172 514 -302
612 238 668
140 358 -283
48 450 -266
16 680 -494
758 803 355
278 761 -725
471 433 203
108 556 -111
678 780 512
473 720 -829
426 549 451
700 80 4
20 278 796
335 41 -775
621 154 -412
119 118 -332
657 621 937
48 142 -897
279 186 -498
357 539 205
28 105 -306
432 197 2
691 422 714
306 635 21
571 29 520
561 346 662
414 234 399
384 299 441
279 401 210
629 130 42
791 742 306
762 772 -618
261 217 -831
204 510 109
55 221 -376
796 355 -477
665 218 314
513 440 -731
310 151 -364
468 736 123
391 379 -54
63 28 -91
485 533 -181
444 62 925
308 277 51
259 652 404
434 296 996
654 15 627
108 257 -79
461 404 -882
673 687 248
662 226 814
240 597 713
178 719 -148
216 522 35
666 462 -127
108 636 144
593 677 -257
509 691 -656
599 35 -785
751 204 280
452 709 311
718 559 -583
716 8 290
273 740 502
468 811 -132
163 4 -650
215 86 -954
667 226 395
623 38 717
721 11 466
146 552 127
12 793 -413
784 405 -337
446 701 927
208 722 -911
305 54 -295
335 342 -186
27 222 266
435 180 574
799 661 862
193 496 -510
283 615 272
803 138 -274
13 500 705
37 581 -664
201 86 963
169 317 -306
36 277 -294
433 680 35
20 444 -159
346 301 -601
618 532 584
668 88 147
27 541 -28
645 112 -344
712 562 -309
641 727 -541
92 258 -66
745 411 -295
425 234 -223
76 494 -970
186 328 -909
144 452 -598
810 477 962
628 550 439
186 213 -225
284 484 348
522 285 -214
6 5 233
664 23 -845
144 424 102
637 154 373
129 502 -23
367 617 642
612 752 -315
529 540 82
648 314 -606
620 8 -566
83 507 158
132 103 166
26 257 375
605 571 69
178 610 -960
781 664 148
385 627 1000
486 562 105
595 267 757
500 337 936
384 613 -417
817 469 940
371 673 -921
558 550 -557
174 815 203
601 624 424
544 134 220
483 256 -712
689 281 318
110 754 793
696 662 -335
37 452 -352
668 728 124
154 79 -37
783 630 122
684 195 -335
618 106 -433
233 261 914
31 385 172
107 664 726
478 451 245
50 793 20
319 781 -777
249 43 -784
783 521 -411
810 757 -729
172 655 -466
383 751 -121
327 726 978
697 731 163
703 473 -727
45 784 -951
461 555 -250
698 754 -855
20 140 -548
5 337 940
147 544 -26
394 241 958
435 624 -365
36 427 -996
454 242 247
278 54 540
57 764 -497
312 280 -979
593 130 277
333 2 -953
229 440 -772
103 129 882
101 120 0
642 746 -978
323 62 -238
272 604 -375
229 50 -913
735 466 -874
138 354 -801
497 522 -493
373 258 158
738 376 -829
65 590 -356
597 92 -556
240 15 490
398 658 -786
579 438 711
55 465 -200
331 545 81
190 438 574
534 34 883
789 609 -744
73 304 512
769 93 396
451 461 -868
651 719 985
168 654 -194
309 304 967
806 560 694
255 509 -278
641 709 406
461 593 -449
159 362 187
490 760 -473
335 17 590
159 496 814
741 192 241
692 297 -935
417 376 211
517 347 -198
302 527 -191
43 192 -196
