8764 26716
7144 4242 882
7360 2703 41
179 5765 -770
3628 3512 190
2414 4083 -549
2839 196 -623
3780 1160 331
7627 7384 44
7663 4427 695
6061 3020 77
2505 2534 -756
1565 3380 -598
7850 1 628
3764 3036 999
333 5293 541
2454 5948 342
4646 7904 107
3963 4849 -743
5445 3030 -80
3394 2428 502
4493 1791 905
8546 4344 379
31 1279 693
7878 2637 -387
5930 6956 -546
2052 8299 -576
281 8501 -458
2939 3645 428
4930 7722 401
1679 3973 213
3177 8447 -595
558 7294 -702
686 7936 -773
5060 2540 236
2296 3556 -125
4302 6794 -23
5970 1728 833
3547 4632 266
8582 2250 459
3094 7966 129
2612 755 759
5695 7191 -986
1748 6604 587
632 6598 70
5828 3440 21
7670 2129 -233
2144 3649 810
3950 3539 -61
1191 1335 835
1273 2048 58
7121 5416 716
4959 1633 870
4269 4318 630
7483 5905 773
3812 5193 275
1165 8008 -981
1593 6842 539
934 1361 764
7298 2974 -864
7089 8676 335
3175 7834 -210
1679 2143 -817
5319 8307 708
3079 7866 -326
8009 4214 -809
6958 7370 902
2760 6351 774
6748 1176 -932
5842 1385 848
703 4289 -311
6238 8686 773
6844 8115 -596
3317 298 -5
4964 689 714
6477 3887 146
3313 8439 469
3093 7380 -815
3398 5796 -308
2582 5897 669
2585 4759 -216
6353 2923 -419
453 3162 -59
914 263 -686
8460 4046 958
6668 3974 -706
5923 2693 799
959 4393 312
4906 3484 -924
991 2613 836
3135 3523 386
6960 7754 52
7509 728 -186
3295 2403 442
5551 7861 241
1864 4947 622
8756 3717 644
8624 6042 161
2330 3041 -939
8632 1275 41
4293 5687 230
7091 4650 109
3087 1690 -789
2430 7116 -107
6496 8501 376
7357 4419 -368
7907 4677 -230
5161 6540 276
7057 4005 -475
4347 4849 949
7234 5229 18
3781 1050 -195
1104 2457 159
898 5258 -296
8669 5886 25
7201 6104 -772
7328 6209 148
1617 1438 185
5306 3557 673
1352 6142 -128
5879 7653 -998
8576 6232 -915
373 1457 620
3685 6874 540
3962 8105 -664
1779 5458 187
6097 6144 806
8024 2008 388
5101 7491 -460
3563 6957 -374
957 5568 -1
7895 4101 -512
7598 531 979
5343 6234 -953
513 849 371
379 2174 110
7391 3273 -346
2381 5301 -451
3417 6350 -651
5925 6574 -37
205 8071 -641
8204 6959 864
2893 8020 690
7688 997 347
2330 2499 -336
7129 8763 444
7238 5435 -51
855 3939 -394
2058 7954 714
6498 4636 500
5522 911 -358
4743 6371 -289
6751 6563 690
6319 3501 -8
2750 5016 -545
6696 2108 15
6950 8591 -753
4028 6454 -231
6800 4730 964
859 7100 648
6592 8617 -941
6735 4532 -495
2257 1132 27
429 545 291
5429 8744 -779
5831 5215 -756
5597 2714 35
4321 6488 284
7449 6351 -920
2443 8186 571
5397 3056 -926
699 6831 225
832 3657 -407
6806 2451 -963
8537 1032 118
3021 5400 973
4569 6612 -164
1932 3486 -319
5095 3626 -164
4898 5056 930
3595 976 950
2676 5667 869
3974 618 373
8651 2784 -18
3302 4175 649
2448 7970 690
236 8452 368
7128 3873 1000
2026 6950 540
5770 6093 59
3439 1228 995
3051 3891 174
987 530 -794
8618 3169 156
2880 1467 -3
6973 8125 -38
226 355 518
3778 1923 587
8274 1494 -487
6731 453 -532
1878 5737 -468
7070 6472 -545
1801 7306 896
3927 4590 -233
8311 8356 -130
3179 7320 371
192 2069 196
5025 2800 -604
5435 8186 766
6006 7419 -222
8315 504 39
2872 5908 537
8624 7005 -676
1637 8241 195
766 6471 -791
3445 4231 -595
3751 5178 -253
4813 1729 865
6334 4816 434
1294 4410 -956
8742 2866 -486
5235 913 324
5331 8579 739
8340 2224 -290
5348 3555 220
7205 5054 -375
1092 1762 158
7527 6734 -614
3975 1841 148
7497 4079 237
5487 8495 149
8154 3642 1000
3006 1641 898
5996 7660 -760
8651 2746 33
5742 530 -107
2740 4536 147
7832 1761 589
7282 3855 -313
5541 5396 -312
1155 3150 -376
5689 5425 -139
8298 372 370
5690 5265 441
8218 1117 689
2675 3547 -569
2617 794 128
1352 6798 -258
6164 6300 -55
4567 7295 420
5597 1784 -6
6001 1803 -903
352 6746 350
788 3890 -361
7430 6113 -131
4148 1210 958
2224 5424 957
7266 3661 -836
6682 8696 -299
3954 5451 -624
6963 4597 356
3448 5851 617
1832 1785 -178
8700 4451 -998
4701 5064 -552
6539 5210 -799
8397 973 -135
5032 8608 -611
6330 5647 -511
4164 6192 262
884 476 -15
4074 4447 -651
6942 6548 474
7954 4413 240
921 4675 606
4313 3621 -889
353 3013 -67
8489 3954 940
482 204 645
946 2546 553
2919 4295 57
2201 5709 519
1104 2012 -126
3703 7646 -410
8195 1909 -472
2868 3145 -782
6118 1958 728
1505 2241 -431
2876 2545 -328
8083 8067 -266
3866 1074 694
2287 1454 -603
2193 5335 -518
7275 2934 -798
2694 6082 672
2338 597 53
6429 5548 479
601 8319 57
4053 6447 -841
3477 5550 363
5840 8764 -935
4653 2810 117
8612 844 -79
1449 8653 71
4276 6474 517
2513 626 -631
3178 3655 -545
1819 13 -987
879 325 -940
4987 5415 833
8316 5229 739
4041 3499 -410
1747 2755 -685
2405 1090 872
6945 1748 -86
271 1410 324
6520 5649 -141
7624 4345 -526
8422 8221 663
6152 5341 691
4059 6673 -263
1164 7138 -319
1232 600 518
4455 288 105
313 7314 989
1721 5084 574
5653 3527 931
6204 2401 -33
7650 585 -546
2751 7723 338
5684 1852 -292
5852 1886 -334
8531 969 792
356 2920 493
3448 6040 492
2433 7683 -491
1124 6893 -156
6821 6951 578
4103 4048 367
392 3007 710
1413 299 -486
1124 2094 245
926 5897 -335
6285 52 866
8643 5397 -566
2510 1336 -361
3417 1684 381
3830 6544 -672
1473 4445 754
6627 1884 -561
6933 3015 -585
399 3195 491
3270 1416 891
3997 1104 -90
4678 3418 -529
6292 7621 -614
3998 7318 -111
2659 3724 533
1369 3286 -450
5587 1565 -530
1549 5796 459
6162 8441 -117
1242 5855 -307
7676 6961 412
4124 3718 -178
8359 4246 -129
3202 2183 570
1311 4108 -419
2500 5040 959
5637 5501 -774
4117 6159 -226
4064 6148 539
4927 5404 11
3909 4435 43
2460 8386 328
1742 586 671
8540 2241 419
1363 8694 -163
2574 1671 419
2077 2625 -420
7480 4093 -808
754 3485 -693
705 8630 655
1210 586 831
6913 3022 708
3953 1714 -421
6944 4354 622
3524 7660 27
1749 947 642
